0 tax, taxes, income, revenue, estate, incomes, taxed, consumption, marginal, flat, wealth, rates, savings, raise, corporate, code, businesses, gains, estates, evasion, taxation, capital, deductions, compliance, investments
1 college, tuition, colleges, students, education, graduates, school, earnings, schools, higher, universities, increased, graduate, average, dropouts, university, costs, public, benefits, student, better, forprofit, 1980, increase, returns
2 immigrants, illegal, immigration, immigrate, residents, amnesty, illegally, skilled, border, legally, citizenship, number, status, stay, approach, employers, aliens, pay, workers, came, apprehended, mexico, policy, undocumented, united
3 unemployment, unemployed, rate, recession, employment, jobs, longterm, workers, labor, job, underemployment, recessions, extension, work, weeks, employed, compensation, recovery, benefits, peak, target, percentage, remain, hires, high
4 children, parents, families, mobility, childrens, education, family, parental, child, intergenerational, degree, income, poorer, poor, earnings, childcare, generation, intergeneration, programs, progresa, invest, educated, abilities, ige, capital
5 housing, borrowers, lenders, mortgages, loans, subprime, mortgage, rates, credit, homes, microfinance, market, houses, payments, lending, homeowners, boom, families, poor, consumers, foreclosures, foreclosure, securities, prime, districts
6 food, farmers, prices, farm, foods, production, corn, wheat, ethanol, grains, subsidies, land, countries, poorer, agricultural, supply, poor, exports, consumers, biofuels, rich, restrictions, controls, demand, rise
7 newspapers, internet, books, google, news, access, microsoft, information, digital, bookstores, copy, read, ereaders, chinese, sales, newspaper, facebook, microsofts, television, papers, twitter, censorship, decline, readers, industry
8 obesity, weight, foods, fats, fat, obese, eating, overweight, restaurants, consumption, beverages, teenagers, sedentary, consequences, consumers, health, television, adults, advertising, calorie, gain, eat, activities, social, sugar
9 insurance, health, care, coverage, plans, medical, uninsured, catastrophic, employees, employer, premiums, mandate, tax, companies, costs, employers, delivery, mandates, provide, employerbased, deductible, american, expenses, pay, medicaid
10 women, men, female, gender, college, earnings, gap, education, male, force, average, graduates, likely, womens, labor, students, biological, professional, scientific, schools, fraction, differences, scientists, degrees, grades
11 carbon, emissions, warming, pollution, global, greenhouse, gases, energy, climate, fuels, emission, environmental, offsets, fossil, atmosphere, co2, var, reduce, pollutants, technologies, solar, tax, future, quota, coal
12 fed, central, inflation, banks, bank, reserves, feds, independence, money, easing, financial, oversight, lending, treasury, federal, operations, congress, rates, rules, supply, crisis, chairman, pressure, policies, market
13 oil, gas, prices, production, drilling, barrel, casino, offshore, supply, demand, producers, fracking, energy, shale, online, reserves, imports, moratorium, elasticity, fuels, gasoline, middle, strategic, increase, increases
14 retirement, age, security, social, ages, older, workers, retire, 65, retirees, younger, systems, years, elderly, 70, employees, accounts, expectancy, generous, average, men, disability, earnings, retirements, retired
15 foundation, foundations, conservative, gates, economics, friedman, milton, buffett, liberal, economists, conservatism, views, institute, prize, issues, economist, warren, buckley, packard, admired, donors, conservatives, teacher, party, economic
