,Topic,Count
1,0,1008
2,1,724
3,2,457
4,3,453
5,4,435
6,5,394
7,6,390
8,7,326
9,8,285
10,9,246
11,10,239
12,11,230
13,12,230
14,13,211
15,14,192
16,15,181
17,16,166
18,17,164
19,18,162
20,19,161
21,20,151
22,21,148
23,22,142
24,23,140
25,24,139
26,25,134
27,26,131
28,27,130
29,28,124
30,29,120
31,30,113
32,31,102
33,32,100
34,33,98
35,34,98
36,35,96
37,36,95
39,37,94
38,38,94
40,39,90
41,40,88
42,41,87
43,42,86
44,43,85
45,44,84
46,45,80
47,46,75
48,47,69
49,48,67
51,49,66
50,50,66
52,51,65
53,52,64
54,53,63
55,54,58
56,55,55
57,56,53
59,57,52
58,58,52
60,59,51
61,60,51
62,61,46
63,62,46
64,63,45
65,64,45
66,65,44
67,66,43
68,67,43
69,68,42
70,69,41
71,70,40
72,71,39
73,72,36
74,73,35
75,74,35
