0 immigrants, immigration, illegal, mexico, amnesty, immigrant, citizenship, border, mexican, illegals, aliens, immigrate, illegally, mexicans, visas, skilled, borders, visa, citizens, fee, states, h1b, foreigners, born, deported
1 posner, posners, judge, post, mr, richard, comments, analysis, agree, blog, argument, read, prof, view, writes, wrong, justice, said, write, professor, point, wrote, think, reading, says
2 tax, taxes, income, taxation, taxed, cuts, revenue, progressive, consumption, revenues, rates, marginal, flat, regressive, taxpayers, deductions, irs, gains, burden, bush, breaks, pay, rich, earners, percent
3 drugs, drug, marijuana, legalization, addicts, cocaine, prohibition, users, pharmaceutical, patent, addiction, alcohol, heroin, legalizing, fda, prescription, decriminalization, illegal, addict, addictive, dealers, addicted, war, legalized, viagra
4 affirmative, blacks, discrimination, black, diversity, racial, whites, race, racist, minorities, minority, aa, segregation, african, ethnic, groups, racism, discriminate, animus, civil, admissions, africanamericans, discriminating, races, prejudice
5 religious, religion, church, catholic, religions, christian, catholics, religiosity, commandments, beliefs, churches, faith, christianity, pope, catholicism, secular, belief, christians, protestant, pray, gods, teachings, roman, believers, theology
6 oil, drilling, prices, opec, price, production, crude, supply, futures, gas, reserves, shale, producers, offshore, demand, petroleum, profits, companies, drill, consumption, foreign, barrels, peak, saudi, extraction
7 women, men, female, male, gender, womens, woman, college, professional, earnings, grades, average, discrimination, females, career, gap, differences, participation, careers, fields, scientists, sciences, students, education, males
8 congestion, roads, toll, road, traffic, transportation, tolls, highway, bridges, transit, highways, bridge, trains, interstate, commuters, driving, indiana, maintenance, buses, parking, congested, freeways, railroads, commuting, trucks
9 farmers, farm, food, agricultural, subsidies, agriculture, farming, farms, crops, wheat, farmer, foods, production, crop, grains, rice, land, grain, acre, countries, bread, corn, rural, commodities, restrictions
10 economics, economists, economist, economic, models, normative, theory, analysis, assumptions, theories, principles, macroeconomic, illiteracy, economy, econometrics, model, rationality, macroeconomics, perspective, econ, microeconomics, thinking, study, blog, predictions
11 airlines, airline, flights, delays, planes, flight, passengers, plane, airports, travel, flying, seats, airport, ticket, baggage, boeing, delay, travelers, passenger, traffic, faa, aircraft, southwest, airplanes, fares
12 crime, punishment, prison, criminals, crimes, criminal, prisoners, punishments, prisons, imprisonment, punished, punishing, incarceration, enforcement, commit, sentences, jail, deter, deterrence, punish, sentencing, offenders, cops, probation, caught
13 judges, court, supreme, justices, judicial, courts, judge, judiciary, limits, appointments, federal, bench, appointed, justice, jury, tenure, lifetime, lawyers, decisions, branch, constitutional, cases, appellate, appointment, law
14 unions, union, unionization, unionized, bargaining, workers, labor, nonunion, prounion, unionism, employees, sector, employer, collective, strike, employers, wages, membership, employee, featherbedding, monopoly, negotiate, nonunionized, benefits, antiunion
15 demand, supply, prices, curve, product, shortages, pricing, consumers, consumer, sellers, suppliers, shortage, equilibrium, quantity, customers, surplus, elasticity, competition, costs, inventory, buyers, goods, supplydemand, production, demanded
16 unemployment, unemployed, underemployment, longterm, structural, months, employment, rate, recession, extension, benefits, job, jobs, labor, workers, recessions, underemployed, extending, work, comp, employed, extended, search, looking, percent
17 newspapers, news, newspaper, media, journalism, print, press, content, paper, reporting, papers, journalists, printed, reporters, stories, readers, times, ads, york, tribune, advertising, web, classified, daily, articles
18 housing, home, homes, bubble, house, median, houses, boom, rental, residential, million, homeowners, rising, building, buy, market, estate, affordable, buyers, mortgage, downsize, consumption, fall, crash, builders
19 conservatives, conservative, conservatism, liberal, liberals, liberalism, intellectual, classical, intellectuals, party, conservativism, neoconservative, republican, definition, principled, neoconservatives, todays, republicans, social, modern, pragmatic, word, values, left, intellectually
20 auto, gm, cars, car, chrysler, detroit, ford, automakers, toyota, manufacturers, dealers, bankruptcy, honda, automobile, autos, companies, chevy, vehicle, mercedes, hyundai, lexus, warranty, dealer, foreign, vehicles
21 care, healthcare, medical, obamacare, doctors, universal, costs, services, patient, reform, procedures, patients, affordable, hospitals, providers, doctor, reforms, service, basic, afford, market, controlled, pay, rationing, providing
22 china, chinese, chinas, growth, economy, communist, economic, companies, export, rapidly, property, buy, freedom, factories, goods, threat, american, produces, assets, nations, gdp, united, exports, military, foreign
23 gasoline, gas, fuel, gallon, prices, taxes, mpg, diesel, cars, refineries, tax, cents, fleet, stations, hybrid, vehicles, consumption, pump, katrina, refinery, fuelefficient, oil, driving, mileage, suvs
24 marriage, divorce, married, marriages, marry, divorces, couples, wife, cohabitation, spouse, marital, divorced, nofault, marrying, institution, alimony, husbands, spouses, relationships, man, wives, contractual, women, divorcing, legal
25 murder, death, punishment, murders, murderers, deterrent, murderer, executed, executions, execution, innocent, deters, killing, deter, deterrence, kill, lives, convicted, crime, killers, criminals, effect, prison, crimes, commit
26 children, parents, family, child, families, childcare, kids, childrens, parental, parent, fathers, mothers, grandchildren, raising, daycare, parenting, adults, janitor, generations, daughters, adulthood, opportunities, emotional, ssm, young
27 gun, guns, firearms, firearm, arms, criminals, militia, possession, crimes, weapons, crime, bullets, concealed, amendment, carry, shooting, hunting, handgun, handguns, lunatics, weapon, criminal, laws, rifles, police
28 patent, patents, software, patented, invention, trolls, innovation, inventions, inventors, intellectual, copyright, inventor, patentable, infringement, examiners, patenting, litigation, uspto, licensing, innovations, copyrights, holder, monopoly, hardware, infringing
29 banks, banking, bank, bankers, financial, capital, assets, depositors, banker, requirements, industry, regulation, regulators, deposit, risk, fail, regulated, regulator, investment, deposits, institutions, liquidity, wells, equity, nonbanks
30 democracy, democratic, democracies, authoritarian, dictatorship, dictatorships, regimes, dictator, dictators, autocracy, republic, autocracies, vote, citizens, functioning, liberty, elections, undemocratic, regime, britain, societies, governments, ancient, form, autocratic
31 minimum, wage, min, wages, workers, employment, 725, hour, disemployment, minimumwage, raise, labor, increases, employer, minimums, higher, effect, employers, livable, employees, skilled, worker, productivity, economists, laws
32 gay, marriage, couples, heterosexual, homosexual, gays, samesex, marriages, homosexuals, children, unions, civil, heterosexuals, raised, marry, parents, rights, straight, lesbians, relationships, opposition, homosexuality, oppose, lesbian, opponents
