0 health, insurance, care, medical, medicare, life, age, elderly, retirement, coverage, security, social, medicaid, people, spending, older, ages, expectancy, benefits, pay, uninsured, employees, costs, old, 65
1 college, education, students, tuition, colleges, student, loans, graduates, earnings, school, forprofit, universities, higher, loan, graduate, schools, nonprofit, institutions, university, increased, benefit, benefits, attending, private, returns
2 immigrants, illegal, immigration, mexico, amnesty, skilled, citizenship, border, mexican, immigrate, illegally, immigrant, states, workers, citizens, fee, outsourcing, mexicans, american, born, children, number, right, jobs, deported
3 obesity, fats, trans, foods, obese, weight, restaurants, fat, drinks, overweight, eating, food, restaurant, ban, sedentary, health, calorie, beverages, consumption, consequences, consumers, teenagers, sugar, television, heart
4 answer, habitual, skeptical, think, reasons, point, question, evidence, arguments, analysis, questions, behavior, norms, issues, incorrect, doubtful, conclusion, dont, argument, true, empirical, simple, comments, thing, try
5 unemployment, unemployed, employment, rate, recession, jobs, workers, longterm, labor, job, looking, underemployment, work, extension, benefits, recessions, skills, weeks, number, employed, discouraged, high, longer, percent, hires
6 banks, banking, financial, capital, loans, bank, lending, assets, regulation, repay, credit, regulators, regulations, borrowers, institutions, lend, lenders, borrow, loan, risks, regulated, borrowing, goldman, bankers, funds
7 tax, taxes, income, revenue, taxed, marginal, rates, taxation, incomes, deductions, corporate, revenues, flat, dividends, savings, gains, consumption, raise, percent, wealth, effect, federal, capital, taxpayers, base
8 carbon, emissions, warming, dioxide, pollution, atmosphere, fuels, greenhouse, fossil, climate, energy, gases, emission, offsets, cap, reduce, atmospheric, technologies, environmental, tax, china, gas, quota, burning, pollutants
9 housing, mortgages, mortgage, house, subprime, bubble, houses, lenders, borrowers, securities, market, homes, rates, loans, mortgagebacked, homeowners, low, boom, bought, foreclosures, consumption, rising, defaults, ownership, foreclosure
10 women, men, female, male, gender, college, earnings, gap, science, womens, average, scientists, education, grades, labor, household, students, scientific, professional, participation, variance, academic, graduates, engineering, biological
11 competition, demand, bureaucracies, supply, competitive, monopoly, customers, product, cartel, profits, prices, firms, costs, monopolies, private, organizations, curve, sellers, competitors, efficiency, bureaucracy, consumers, goods, profit, enterprise
12 children, parents, mobility, families, childrens, income, child, intergenerational, parental, inequality, generation, family, education, poor, distribution, poorer, childcare, intergeneration, degree, generations, wealthy, greater, programs, educated, earnings
