0 health, insurance, medical, care, medicare, people, elderly, retirement, medicaid, physicians, longevity, premiums, security, benefits, costs, healthcare, old, insured, uninsured, pay, malpractice, patients, average, afford, insurers
1 college, students, education, colleges, schools, universities, tuition, school, student, university, forprofit, alumni, public, graduates, teachers, faculty, loans, children, teacher, benefit, attend, parents, institutions, donations, teaching
2 oil, carbon, gasoline, emissions, warming, global, dioxide, fuels, atmosphere, prices, tax, gas, fossil, energy, reduce, drilling, supply, taxes, burning, production, demand, ethanol, increase, dependence, greenhouse
3 skeptical, know, think, point, reasons, question, dont, incorrect, questions, doubt, study, preconceptions, analysis, thing, guess, arguments, conscious, information, brush, points, results, realistic, suggestion, expectation, exceptions
4 war, iraq, military, soldiers, vietnam, terrorism, attack, terrorist, personnel, terrorists, troops, casualties, armed, al, qaeda, forces, attacks, army, united, defense, threat, civilian, islamic, afghanistan, iran
5 income, inequality, wealth, happiness, mobility, incomes, poverty, rich, distribution, percent, welfare, poor, utility, wealthy, society, class, average, envy, social, median, family, states, redistribution, economic, households
6 illegal, immigrants, immigration, amnesty, mexico, citizenship, mexican, immigrant, states, border, citizens, foreigners, skilled, profiling, deported, children, future, americans, outsourcing, crime, lawful, born, jobs, deportation, workers
7 banks, banking, financial, bank, loans, capital, lending, reserve, risk, regulation, fed, federal, lend, borrowing, loan, borrow, credit, regulatory, bankers, lax, nonbank, risks, lenders, assets, deregulation
8 obesity, obese, trans, fats, foods, restaurants, restaurant, food, people, drinks, fat, overweight, ban, weight, eating, soft, health, fatty, york, calorie, tax, sodas, diet, exercise, ordinance
9 tax, income, taxes, estate, revenues, revenue, increase, rates, marginal, federal, taxed, taxation, percent, effect, loopholes, dividends, bequest, gains, effects, deductions, regulatory, taxable, 250000, taxpayers, excise
10 punishment, crime, murder, criminal, crimes, sentence, prison, murderers, deterrence, execution, rate, executed, capital, deter, imprisonment, police, deterrent, criminals, punished, innocent, committing, threat, probability, costs, punish
11 price, product, demand, competition, supply, cartel, costs, prices, cost, curve, monopoly, sellers, profits, customers, consumers, market, marginal, competitive, quality, producers, consumer, shortage, value, monopsony, products
12 housing, mortgage, bubble, mortgages, house, subprime, houses, rates, bursting, securities, mortgagebacked, bought, market, risky, lending, lenders, equity, refinance, debt, defaults, rising, financial, borrowing, foreclosures, freddie
13 china, chinese, exports, imports, chinas, foreign, domestic, goods, export, internet, companies, united, countries, states, domestically, products, imported, demand, equipment, production, oil, growth, economic, employment, policy
14 inflation, rates, cash, money, debt, securities, fed, treasury, borrowing, shortterm, longterm, banks, reserve, bank, bonds, low, reserves, lend, economy, federal, feds, increase, reduce, excess, savings
15 women, men, female, male, science, womens, household, sex, scientists, participation, girls, grades, college, average, jobs, ratio, academic, selection, children, career, earnings, engineering, higher, education, discrimination
16 ceo, compensation, directors, ceos, shareholders, corporation, executives, management, organization, firms, shares, corporations, company, managers, value, employees, executive, options, owners, bonus, subordinates, hierarchy, boards, corporate, salary
17 newspaper, newspapers, news, media, advertising, spam, information, blogs, bloggers, print, ads, classified, web, revenues, blogging, content, mainstream, ethical, blogosphere, read, unbundling, sports, standards, magazines, mail
18 drugs, drug, marijuana, orphan, prohibition, illegal, legalization, enforcement, cocaine, legalizing, authors, costs, alcohol, sale, producer, recreational, legalized, war, consumption, sales, heroin, legal, diseases, substitutes, billion
19 disaster, tsunami, probability, catastrophe, ocean, response, warning, earthquake, orleans, katrina, hurricane, measures, risks, tsunamis, disasters, emergency, asteroid, 2004, expected, catastrophes, risk, warnings, analysis, damage, flood
20 judges, lawyers, judicial, law, judge, judiciary, salaries, court, firm, salary, federal, firms, justices, lawyer, appointed, courts, practice, hours, case, promotion, job, senior, counsel, career, client
21 depression, recession, economy, gdp, depressions, 1933, projects, economic, recovery, ends, severe, 2009, output, began, crisis, falling, euphemism, increasing, 1930s, publicworks, 2008, trend, reduced, antidepression, keynesian
22 unions, union, unionization, workers, labor, employer, unionized, employers, bargaining, wages, employees, sector, public, unionism, strike, wage, prounion, work, relations, collective, employment, organizing, competitors, power, adversarial
23 campaign, contributions, political, advertising, lobbying, voting, voters, candidates, campaigns, election, elections, pac, donations, information, congress, lobbyists, money, ads, groups, pacs, expenditures, donors, 527, abramoff, influence
24 population, birth, onechild, fertility, policy, growth, birthrate, russia, countries, chinese, world, billion, child, china, children, overpopulation, rates, decline, demographic, births, ratio, japan, russian, transition, country
25 airlines, airline, passengers, flight, delay, flights, planes, delays, air, service, passenger, scheduled, canceled, plane, transportation, travelers, traffic, costs, baggage, schedules, tarmac, fuel, carriers, congestion, delayed
26 democracy, democratic, liberty, authoritarian, dictatorship, regimes, freedom, hitler, election, political, dictator, liberties, government, wealthy, nations, societies, economic, collapse, ancient, soviet, communist, regime, dictatorships, rulers, selfconfident
27 deficit, federal, spending, debt, tax, fiscal, revenues, taxes, budget, cuts, deficits, government, growth, expenditures, annual, trillion, gdp, increases, economy, bush, reduce, reducing, percent, raising, administration
28 toll, road, congestion, tolls, highway, traffic, monopoly, lease, roads, transportation, commuting, commuters, indiana, interstate, maintenance, driving, telephone, delay, drivers, state, highways, fees, london, externality, vehicle
29 unemployment, unemployed, job, looking, benefits, longterm, workers, search, discouraged, labor, work, percent, employment, underemployment, extension, extending, involuntarily, high, months, employed, longer, structural, economy, employers, skills
30 flu, disease, vaccine, virus, pandemic, infected, malaria, africa, aids, prevalence, hivaids, vaccines, epidemic, spraying, ddt, pandemics, condoms, avian, died, 19181919, deaths, birds, percent, people, population
