conceptions 			[-4.61657604e-04  1.98939516e+03  3.67141982e-01  4.67857933e-04]
transition 			[-4.75702250e-05  1.99326097e+03  1.78643719e+01  5.45960900e-05]
serves 			[-7.35832764e-05  1.99159578e+03  4.15558075e+00  8.99706689e-05]
counter 			[-2.46811141e-05  1.99329060e+03  1.59467417e+00  2.91188218e-05]
unlikely 			[-2.39246590e-04  1.99870240e+03 -1.16431824e-01  2.47927440e-04]
money 			[1.75004468e-04 1.99234253e+03 2.16281361e+00 3.94775009e-05]
jefferson 			[-4.18698227e-05  1.99495340e+03  1.16317050e+01  5.15323094e-05]
allied 			[-7.17477755e-05  1.98863606e+03  5.57815379e-01  7.71605981e-05]
identified 			[6.17481479e-05 1.98951164e+03 4.69295691e-01 1.57913735e-06]
collective 			[-3.04347279e-04  1.99500320e+03  5.17632746e-01  3.74620499e-04]
critique 			[-1.76393439e-04  1.98915494e+03  5.92751085e+00  2.08262639e-04]
prepolitical 			[-2.79503755e-04  1.98881299e+03  4.80210165e-01  2.78749315e-04]
extremes 			[3.38994375e-05 1.99605396e+03 9.62335264e+00 2.34125596e-06]
sorts 			[-1.23989892e-04  1.99651662e+03  1.62379984e+00  1.52659692e-04]
independence 			[-9.68625779e-05  1.99494325e+03  1.07954477e+01  1.20076807e-04]
character 			[-4.93648079e-04  1.98943828e+03  1.82381781e-01  4.92130753e-04]
outgrowth 			[-7.69296192e-05  1.98896304e+03  8.55340481e+00  9.08242264e-05]
discern 			[-5.28499600e-05  1.99007701e+03  1.05010130e+01  5.89319818e-05]
amendment 			[-4.62321812e-04  1.99609802e+03  1.21099523e+01  5.65749530e-04]
stakes 			[ 4.14830265e-05  1.99133308e+03  3.43913885e-01 -4.46371666e-06]
statutory 			[-1.41704794e-03  1.99015979e+03  1.51303986e+01  1.66394683e-03]
marketplace 			[-6.10340217e-05  1.99596768e+03  2.95976440e+01  6.81521995e-05]
aggressive 			[-1.76892532e-04  1.99086605e+03  2.04268876e+00  2.17243267e-04]
legality 			[-1.13394456e-04  1.98984873e+03  3.02165832e+01  1.22299898e-04]
barrier 			[-3.22916878e-05  1.99694757e+03  1.08425359e+01  3.92970468e-05]
cost-benefit 			[4.71344887e-04 1.99502626e+03 3.34959203e+01 5.06781341e-05]
construction 			[-5.76435560e-04  1.99022326e+03  1.45827364e+01  6.40570252e-04]
statutes 			[-1.26545367e-03  1.99081361e+03  1.51458573e+01  1.46135330e-03]
defeated 			[-2.84378455e-05  1.99305156e+03  1.31892713e+00  3.18224603e-05]
accorded 			[-3.56002131e-05  1.99294920e+03  1.44359010e+01  3.88374785e-05]
immunized 			[-2.77834428e-05  1.99497347e+03  1.16503362e+01  2.91195740e-05]
origin 			[-2.51073513e-05  1.99787047e+03  1.94905112e+01  2.96879277e-05]
controls 			[-2.73723604e-04  1.99296328e+03  1.82217963e+00  3.31075282e-04]
salutary 			[-5.41074653e-05  1.99710205e+03  1.03754895e+01  6.36497572e-05]
continuous 			[-1.79383987e-05  1.99583536e+03  1.06477283e+01  2.05343818e-05]
annual 			[8.67739654e-05 1.99045261e+03 3.20084697e-01 9.57669039e-06]
people 			[ 4.19471514e-03  1.99275906e+03  4.15933225e-01 -3.12886284e-05]
politics 			[-7.06546879e-04  1.99195383e+03  3.96314629e-01  7.47494148e-04]
confirmation 			[-4.62549463e-05  1.99291253e+03  2.59016834e+01  5.58753745e-05]
implement 			[-1.20115723e-04  1.99002353e+03  6.08757260e-01  1.38572991e-04]
congressional 			[-4.61960738e-04  1.99041746e+03  8.86203574e-01  5.63171173e-04]
asking 			[9.78116157e-05 1.99721581e+03 3.03370259e-01 1.63803253e-05]
prohibit 			[-3.35563592e-05  1.99583126e+03  2.87063138e-01  3.61402811e-05]
changed 			[-1.73145273e-04  1.99401535e+03  4.65160306e-01  1.98795680e-04]
notion 			[-2.99464379e-04  1.99877777e+03  3.42150557e-01  3.04322811e-04]
irrationality 			[-1.28169636e-04  1.99194531e+03  1.24416042e+01  1.44131838e-04]
judgments 			[8.13734047e-04 1.99261843e+03 1.50448829e+00 1.78586865e-04]
weakened 			[1.64023716e-05 1.99504451e+03 2.50515260e+01 3.21674952e-06]
influences 			[1.40023100e-04 1.99876363e+03 2.14247695e+00 1.92315001e-05]
media 			[7.31849726e-05 1.99101336e+03 2.46512755e+01 1.56850766e-05]
believe 			[7.98236742e-04 2.00097818e+03 1.69488124e-01 1.07414236e-04]
constitutionalism 			[-1.57991598e-04  1.99471988e+03  9.14423466e-01  1.84006416e-04]
commissioners 			[-1.89075742e-05  1.99497241e+03  2.88538285e+01  2.02955723e-05]
neglect 			[1.58913998e-04 2.00002772e+03 1.49776715e+01 1.03924342e-05]
misconduct 			[4.80309311e-05 1.99661271e+03 3.59705084e+01 4.09869840e-06]
securities 			[-6.85970861e-05  1.98907320e+03  1.70662714e+01  8.18193163e-05]
executor 			[-2.28659011e-05  1.99603155e+03  1.93267251e+00  2.26395088e-05]
text 			[-6.82873740e-04  1.99430394e+03  4.83133236e-01  8.25581127e-04]
factions 			[-1.86817960e-05  1.99899066e+03  1.85167930e+01  1.89768219e-05]
neutral 			[-1.52520932e-04  1.99399939e+03  1.62440738e+01  1.71608377e-04]
reconstruction 			[-6.75717609e-05  1.99080200e+03  2.76824397e+01  7.39539101e-05]
federalism 			[-1.19162019e-04  1.99188466e+03  1.65367997e+01  1.34082041e-04]
harv 			[-5.20027391e-04  1.98884349e+03  4.06499933e-01  5.74475871e-04]
rev 			[-1.72004766e-03  1.98818616e+03  3.24561330e-01  2.14595458e-03]
421 			[-8.54649807e-05  1.99098932e+03  2.09960470e+01  9.45193009e-05]
1987 			[-7.12022667e-04  1.99023916e+03  1.15590691e+00  8.07488192e-04]
j. 			[-1.03646910e-03  1.99014766e+03  7.05968038e-01  1.26345177e-03]
272 			[-2.96484272e-05  1.99496171e+03  9.97658297e+00  3.39679943e-05]
u.s. 			[-2.35724723e-03  1.99093718e+03  5.67789757e-01  2.65712412e-03]
